Zeile, id, Bild, Info, Bewertung1, Bewertung2, Bewertung3, Timestamp
365,gb85u5go5hsvsqu8jv6i9glg5prkn5d5,TraubenNeu.png,,60,81,6,1520721651
365,gb85u5go5hsvsqu8jv6i9glg5prkn5d5,LimetteNeu.png,"Auf Chefkoch.de gibt es mehr als 1000 einfache Rezepte mit Limette.",100,100,0,1520721732
365,gb85u5go5hsvsqu8jv6i9glg5prkn5d5,KarotteAlt.png,,15,65,45,1520721796
365,gb85u5go5hsvsqu8jv6i9glg5prkn5d5,ApfelNeu.png,"Dieser Apfel hat circa 140 Liter Wasser während der Produktion, des Transports und der Lagerung verbraucht bzw. verschmutzt. ",100,35,0,1520721809
365,gb85u5go5hsvsqu8jv6i9glg5prkn5d5,TraubenAlt.png,,25,64,38,1520721831
365,gb85u5go5hsvsqu8jv6i9glg5prkn5d5,LimetteAlt.png,"Auf Chefkoch.de gibt es mehr als 1000 einfache Rezepte mit Limette.",0,38,89,1520721841
365,gb85u5go5hsvsqu8jv6i9glg5prkn5d5,FruehlingszwiebelAlt.png,"64% der bisherigen Teilnehmer würden diese Lauchzwiebel noch essen oder verwerten.",10,37,100,1520721850
365,gb85u5go5hsvsqu8jv6i9glg5prkn5d5,BananeNeu.png,"Für 1 kg Bananen, d.h. ca. 9 Bananen, werden 0,57 kg oder 288 Liter CO2 verbraucht. Ein Mensch erzeugt beim Atmen die gleiche Menge an CO2 in ungefähr 13 Stunden. ",100,100,0,1520721865
365,gb85u5go5hsvsqu8jv6i9glg5prkn5d5,BirneNeu.png,"Auf Chefkoch.de gibt es mehr als 700 einfache Rezepte mit Birne.",80,67,0,1520721898
365,gb85u5go5hsvsqu8jv6i9glg5prkn5d5,PaprikaNeu.png,"62% der bisherigen Teilnehmer würden diese Paprika noch essen oder verwerten.",100,100,0,1520721904
365,gb85u5go5hsvsqu8jv6i9glg5prkn5d5,BananeAlt.png,"Diese Banane hat circa 95,5 Liter Wasser während der Produktion, des Transports und der Lagerung verbraucht bzw. verschmutzt. ",100,37,83,1520721912
365,gb85u5go5hsvsqu8jv6i9glg5prkn5d5,ApfelAlt.png,"Für 1 kg Äpfel, d.h. ca. 5 Äpfel, werden 0,25 kg oder 127 Liter CO2 verbraucht. Ein Mensch erzeugt beim Atmen die gleiche Menge an CO2 in ungefähr 6 Stunden. ",19,44,71,1520721922
365,gb85u5go5hsvsqu8jv6i9glg5prkn5d5,PaprikaAlt.png,"63% der bisherigen Teilnehmer würden diese Paprika noch essen oder verwerten.",11,82,66,1520721928
365,gb85u5go5hsvsqu8jv6i9glg5prkn5d5,FruehlingszwiebelNeu.png,"61% der bisherigen Teilnehmer würden diese Lauchzwiebel noch essen oder verwerten.",96,87,0,1520721936
365,gb85u5go5hsvsqu8jv6i9glg5prkn5d5,BirneAlt.png,"Auf Chefkoch.de gibt es mehr als 700 einfache Rezepte mit Birne.",20,68,38,1520721945
365,gb85u5go5hsvsqu8jv6i9glg5prkn5d5,KarotteNeu.png,,100,100,0,1520721979
402,tql0lcoetpi9imqosppan7ij90ck4bn2,ApfelNeu.png,"Auf Chefkoch.de gibt es mehr als 4000 einfache Rezepte mit Apfel.",85,68,0,1520722455
402,tql0lcoetpi9imqosppan7ij90ck4bn2,BirneAlt.png,,63,93,47,1520722466
402,tql0lcoetpi9imqosppan7ij90ck4bn2,KarotteNeu.png,"Diese Karotte hat circa 8 Liter Wasser während der Produktion, des Transports und der Lagerung verbraucht bzw. verschmutzt. ",94,73,29,1520722496
402,tql0lcoetpi9imqosppan7ij90ck4bn2,PaprikaAlt.png,,35,63,42,1520722510
402,tql0lcoetpi9imqosppan7ij90ck4bn2,TraubenNeu.png,"65% der bisherigen Teilnehmer würden diese Trauben noch essen oder verwerten.",100,15,0,1520722522
402,tql0lcoetpi9imqosppan7ij90ck4bn2,FruehlingszwiebelNeu.png,"Diese Lauchzwiebel hat circa 7 Liter Wasser während der Produktion, des Transports und der Lagerung verbraucht bzw. verschmutzt. ",88,80,60,1520722536
216,q2sp4s4dmt7f522ogndlvqkua472j2o8,FruehlingszwiebelAlt.png,"Diese Lauchzwiebel hat circa 7 Liter Wasser während der Produktion, des Transports und der Lagerung verbraucht bzw. verschmutzt. ",26,81,75,1520723297
216,q2sp4s4dmt7f522ogndlvqkua472j2o8,TraubenAlt.png,"Diese Rispe von Trauben hat circa 65,5 Liter Wasser während der Produktion, des Transports und der Lagerung verbraucht bzw. verschmutzt. ",75,89,14,1520723318
216,q2sp4s4dmt7f522ogndlvqkua472j2o8,BirneAlt.png,"60% der bisherigen Teilnehmer würden diese Birne noch essen oder verwerten.",85,100,2,1520723335
216,q2sp4s4dmt7f522ogndlvqkua472j2o8,PaprikaAlt.png,,7,100,21,1520723347
216,q2sp4s4dmt7f522ogndlvqkua472j2o8,ApfelNeu.png,"69% der bisherigen Teilnehmer würden diesen Apfel noch essen oder verwerten.",100,100,0,1520723360
216,q2sp4s4dmt7f522ogndlvqkua472j2o8,BirneNeu.png,"73% der bisherigen Teilnehmer würden diese Birne noch essen oder verwerten.",100,100,0,1520723370
